	lemma	pos	abs_freq	rel_freq
0	die	ART	44004	0.08928549688949489
1	.	$.	28349	0.05752101061995025
2	,	$,	20676	0.04195225283354232
3	eine	ART	10790	0.02189324860098286
4	und	KON	9819	0.019923059130032506
5	-	$(	8404	0.017051979725918442
6	in	APPR	8249	0.016737479861863542
7	sein	VAFIN	7902	0.01603340597265677
8	haben	VAFIN	4358	0.008842518758395118
9	mit	APPR	4229	0.008580773710246202
10	im	APPRART	4082	0.0082825060972393
11	zu	PTKZU	3796	0.007702203122273489
12	von	APPR	3781	0.007671767651558499
13	auf	APPR	3727	0.0075621999569845345
14	für	APPR	3629	0.007363354881646599
15	es	PPER	3367	0.006831748659824773
16	er|es|sie	PRF	3086	0.006261590841763959
17	werden	VAFIN	2989	0.006064774797807023
18	:	$.	2908	0.005900423255946076
19	""""	$(	2846	0.0057746233103241175
20	auch	ADV	2705	0.00548852988560321
21	nicht	PTKNEG	2615	0.00530591706131327
22	sie	PPER	2355	0.004778368902253442
23	“	XY	2326	0.004719526992204462
24	er	PPER	2302	0.004670830239060477
25	als	KOKOM	2102	0.0042650239628606096
26	am	APPRART	2084	0.004228501398002621
27	„	XY	2054	0.004167630456572641
28	an	APPR	2007	0.004072265981665673
29	können	VMFIN	1983	0.004023569228521688
30	nach	APPR	1975	0.004007336977473693
31	bei	APPR	1937	0.003930233784995719
32	(	$(	1846	0.003745591929324779
33	)	$(	1834	0.003721243552752787
34	dass	KOUS	1801	0.0036542855171798087
35	ihr	PPOSAT	1735	0.0035203694460338524
36	diese	PDAT	1710	0.003469643661508869
37	aus	APPR	1696	0.003441237222174878
38	um	APPR	1520	0.0030841276991189948
39	werden	VAINF	1492	0.0030273148204510133
40	Jahr	NN	1480	0.003002966443879021
41	sein	PPOSAT	1446	0.0029339793769250434
42	wie	KOKOM	1369	0.0027777439605880944
43	vor	APPR	1256	0.002548463414535169
44	–	XY	1246	0.002528173100725176
45	aber	ADV	1230	0.0024957085986291863
46	noch	ADV	1217	0.002469331190676195
47	so	ADV	1198	0.0024307795944372075
48	sollen	VMFIN	1131	0.002294834491910252
49	ich	PPER	1060	0.002150773263859299
50	über	APPR	1031	0.002091931353810318
51	zum	APPRART	996	0.0020209152554753413
52	mehr	ADV	994	0.0020168571927133426
53	wir	PPER	980	0.0019884507533793516
54	müssen	VMFIN	969	0.001966131408188359
55	oder	KON	911	0.0018484475880903974
56	nur	ADV	906	0.0018383024311854007
57	man	PIS	893	0.0018119250232324093
58	geben	VVFIN	850	0.0017246766738494377
59	neu	ADJA	846	0.0017165605483254404
60	UNKNOWN	ADJD	825	0.0016739508893244544
61	gegen	APPR	817	0.0016577186382764595
62	sein	VAINF	814	0.0016516315441334616
63	bis	APPR	802	0.0016272831675614695
64	keine	PIAT	767	0.0015562670692264927
65	sagen	VVFIN	729	0.0014791638767485179
66	groß	ADJA	690	0.0014000316528895436
67	kommen	VVFIN	690	0.0014000316528895436
68	zur	APPRART	663	0.0013452478056025614
69	durch	APPR	653	0.0013249574917925681
70	wieder	ADV	636	0.0012904639583155794
71	UNKNOWN	ADJA	634	0.0012864058955535805
72	wollen	VMFIN	630	0.0012782897700295832
73	?	$.	625	0.0012681446131245866
74	stehen	VVFIN	621	0.0012600284876005893
75	beim	APPRART	608	0.0012336510796475979
76	erst	ADJA	605	0.0012275639855046
77	nun	ADV	588	0.0011930704520276112
78	«	$(	584	0.0011849543265036136
79	»	$(	583	0.0011829252951226143
80	alle	PIAT	564	0.001144373698883627
81	doch	ADV	550	0.0011159672595496362
82	unter	APPR	546	0.0011078511340256389
83	gehen	VVFIN	542	0.0010997350085016416
84	schon	ADV	528	0.0010713285691676508
85	seit	APPR	527	0.0010692995377866515
86	immer	ADV	521	0.0010571253495006553
87	ander	ADJA	520	0.001055096318119656
88	Euro	NE	505	0.001024660847404666
89	zwei	CARD	501	0.0010165447218806686
90	Prozent	NN	495	0.0010043705335946727
91	was	PRELS	483	0.0009800221570226805
92	dann	ADV	477	0.0009678479687366845
93	wenn	KOUS	473	0.0009597318432126871
94	bereits	ADV	457	0.0009272673411166977
95	damit	PROAV	456	0.0009252383097356983
96	gut	ADJD	447	0.0009069770273067043
97	werden	VAPP	443	0.000898860901782707
98	viele	PIAT	441	0.0008948028390207083
99	jetzt	ADV	436	0.0008846576821157116
100	dabei	PROAV	433	0.0008785705879727136
101	weit	ADJA	420	0.0008521931800197222
102	vom	APPRART	420	0.0008521931800197222
103	alle	PIS	414	0.0008400189917337262
104	gut	ADJA	411	0.0008339318975907281
105	unknown	VVFIN	409	0.0008298738348287294
106	da	ADV	409	0.0008298738348287294
107	deutsch	ADJA	407	0.0008258157720667308
108	ab	PTKVZ	402	0.000815670615161734
109	drei	CARD	394	0.0007994383641137393
110	liegen	VVFIN	378	0.0007669738620177499
111	Uhr	NN	377	0.0007649448306367506
112	!	$.	373	0.0007568287051127533
113	jede	PIAT	366	0.0007426254854457579
114	Deutschland	NE	361	0.0007324803285407612
115	jährig	ADJA	361	0.0007324803285407612
116	hier	ADV	351	0.0007121900147307678
117	sehr	ADV	350	0.0007101609833497685
118	enden	VVFIN	335	0.0006797255126347784
119	Stadt	NN	332	0.0006736384184917804
120	Polizei	NN	329	0.0006675513243487824
121	etwa	ADV	323	0.0006553771360627863
122	rund	ADV	323	0.0006553771360627863
123	laut	APPR	322	0.000653348104681787
124	beide	PIAT	321	0.0006513190733007877
125	zwischen	APPR	319	0.000647261010538789
126	unknown	ADJD	317	0.0006432029477767903
127	dürfen	VMFIN	313	0.000635086822252793
128	Kind	NN	312	0.0006330577908717936
129	Land	NN	309	0.0006269706967287956
130	weiter	ADV	304	0.0006168255398237989
131	denn	KON	302	0.0006127674770618003
132	selbst	ADV	299	0.0006066803829188022
133	viel	PIAT	295	0.0005985642573948049
134	dazu	PROAV	293	0.0005945061946328061
135	einige	PIAT	291	0.0005904481318708075
136	zeit	APPR	290	0.0005884191004898082
137	ins	APPRART	289	0.0005863900691088088
138	vergangen	ADJA	284	0.0005762449122038121
139	/	$(	283	0.0005742158808228128
140	letzt	ADJA	281	0.0005701578180608141
141	unser	PPOSAT	277	0.0005620416925368167
142	machen	VVFIN	276	0.0005600126611558174
143	dort	ADV	275	0.0005579836297748181
144	mal	ADV	269	0.000545809441488822
145	Woche	NN	269	0.000545809441488822
146	sowie	KON	266	0.000539722347345824
147	Million	NN	264	0.0005356642845838254
148	alt	ADJA	259	0.0005255191276788287
149	allerdings	ADV	257	0.00052146106491683
150	dafür	PROAV	256	0.0005194320335358307
151	ganz	ADV	256	0.0005194320335358307
152	ohne	APPR	254	0.0005153739707738319
153	erst	ADV	252	0.0005113159080118333
154	unknown	ADJA	249	0.0005052288138688353
155	folgen	VVFIN	249	0.0005052288138688353
156	hoch	ADJA	246	0.0004991417197258372
157	nah	ADJA	244	0.0004950836569638386
158	ob	KOUS	241	0.0004889965628208406
159	bleiben	VVFIN	240	0.00048696753143984123
160	heute	ADV	239	0.0004849385000588419
161	zweit	ADJA	236	0.0004788514059158439
162	lassen	VVFIN	236	0.0004788514059158439
163	us	NE	236	0.0004788514059158439
164	erklären	VVFIN	234	0.00047479334315384523
165	leben	VVFIN	233	0.0004727643117728459
166	etwas	ADV	232	0.0004707352803918465
167	mein	PPOSAT	231	0.0004687062490108472
168	machen	VVINF	228	0.0004626191548678492
169	eigen	ADJA	227	0.00046059012348684985
170	mehrere	PIAT	223	0.0004524739979628525
171	unternehmen	VVINF	223	0.0004524739979628525
172	sondern	KON	222	0.00045044496658185317
173	also	ADV	220	0.00044638690381985447
174	jedoch	ADV	217	0.00044029980967685644
175	klein	ADJA	216	0.0004382707782958571
176	sehen	VVFIN	216	0.0004382707782958571
177	weil	KOUS	215	0.0004362417469148578
178	zeigen	VVFIN	209	0.00042406755862886173
179	heißen	VVFIN	209	0.00042406755862886173
180	Monat	NN	206	0.00041798046448586376
181	wegen	APPR	201	0.000407835307580867
182	UNKNOWN	NE	200	0.0004058062761998677
183	stellen	VVFIN	199	0.0004037772448188684
184	vier	CARD	199	0.0004037772448188684
185	jung	ADJA	198	0.00040174821343786905
186	einmal	ADV	197	0.0003997191820568697
187	Ukraine	NE	196	0.00039769015067587035
188	finden	VVFIN	194	0.0003936320879138717
189	fast	ADV	192	0.000389574025151873
190	fünf	CARD	188	0.00038145789962787564
191	sehen	VVINF	188	0.00038145789962787564
192	platz	PTKVZ	187	0.0003794288682468763
193	gelten	VVFIN	186	0.000377399836865877
194	davon	PROAV	184	0.0003733417741038783
195	besonders	ADV	183	0.00037131274272287897
196	bieten	VVFIN	183	0.00037131274272287897
197	sogar	ADV	180	0.00036522564857988094
198	andere	PIS	180	0.00036522564857988094
199	Straße	NN	180	0.00036522564857988094
200	laufen	VVFIN	180	0.00036522564857988094
201	sein	VAPP	178	0.00036116758581788223
202	zurück	PTKVZ	178	0.00036116758581788223
203	spielen	VVIMP	177	0.0003591385544368829
204	Team	FM	175	0.00035508049167488426
