	lemma	pos	abs_freq	rel_freq
0	die	ART	35548	0.0882592460175585
1	.	$.	23201	0.05760388114249394
2	,	$,	16906	0.041974536209430736
3	eine	ART	9049	0.022467028165097526
4	und	KON	8152	0.020239939617844517
5	-	$(	6897	0.01712400190680491
6	in	APPR	6678	0.016580264569181265
7	sein	VAFIN	6059	0.015043399674254162
8	haben	VAFIN	3440	0.008540896992809757
9	mit	APPR	3422	0.008496206252731101
10	im	APPRART	3332	0.008272752552337823
11	zu	PTKZU	3122	0.007751360584753506
12	von	APPR	3047	0.007565149167759107
13	auf	APPR	3032	0.007527906884360227
14	für	APPR	2908	0.0072200373415961545
15	es	PPER	2676	0.006644023358360148
16	er|es|sie	PRF	2586	0.0064205696579668695
17	werden	VAFIN	2549	0.006328705358916299
18	:	$.	2358	0.005854486950303897
19	auch	ADV	2355	0.005847038493624121
20	""""	$(	2234	0.005546617407539824
21	nicht	PTKNEG	2168	0.005382751360584754
22	sie	PPER	2020	0.005015294164382473
23	“	XY	1952	0.004846462479640885
24	er	PPER	1844	0.004578318039168951
25	am	APPRART	1791	0.004446728637826243
26	„	XY	1711	0.0042481031263655504
27	bei	APPR	1707	0.004238171850792516
28	an	APPR	1698	0.004215826480753188
29	können	VMFIN	1668	0.0041413419139554285
30	als	KOKOM	1635	0.004059408890477893
31	nach	APPR	1506	0.003739125253247527
32	ihr	PPOSAT	1478	0.0036696063242362847
33	aus	APPR	1417	0.0035181543717475072
34	(	$(	1415	0.00351318873396099
35	diese	PDAT	1401	0.003478429269455369
36	dass	KOUS	1398	0.0034709808127755927
37	)	$(	1396	0.0034660151749890756
38	um	APPR	1298	0.0032226989234497277
39	werden	VAINF	1211	0.003006693679736225
40	sein	PPOSAT	1201	0.002981865490803639
41	Jahr	NN	1144	0.0028403448138878957
42	aber	ADV	1080	0.002681444404719342
43	wie	KOKOM	1054	0.0026168911134946174
44	noch	ADV	1034	0.0025672347356294443
45	vor	APPR	1001	0.0024853017121519087
46	–	XY	954	0.0023686092241687524
47	so	ADV	911	0.0022618480117586304
48	über	APPR	893	0.0022171572716799745
49	ich	PPER	886	0.002199777539427164
50	zum	APPRART	857	0.002127775791522663
51	sollen	VMFIN	841	0.002088050689230525
52	nur	ADV	787	0.0019539784689945575
53	mehr	ADV	785	0.0019490128312080403
54	oder	KON	743	0.0018447344376911771
55	man	PIS	737	0.0018298375243316252
56	geben	VVFIN	723	0.001795078059826004
57	müssen	VMFIN	719	0.0017851467842529695
58	wir	PPER	690	0.0017131450363484686
59	sein	VAINF	688	0.0017081793985619512
60	neu	ADJA	679	0.0016858340285226235
61	UNKNOWN	ADJD	679	0.0016858340285226235
62	bis	APPR	666	0.001653557382910261
63	gegen	APPR	666	0.001653557382910261
64	keine	PIAT	634	0.0015741071783259841
65	kommen	VVFIN	566	0.001405275493584396
66	sagen	VVFIN	564	0.0014003098557978787
67	wollen	VMFIN	557	0.0013829301235450682
68	zur	APPRART	543	0.001348170659039447
69	groß	ADJA	541	0.0013432050212529296
70	stehen	VVFIN	506	0.001256306359988877
71	erst	ADJA	504	0.0012513407222023596
72	durch	APPR	491	0.0012190640765899973
73	UNKNOWN	ADJA	486	0.001206649982123704
74	?	$.	478	0.0011867874309776348
75	wieder	ADV	477	0.0011843046120843762
76	nun	ADV	466	0.001156993604258531
77	alle	PIAT	462	0.0011470623286854963
78	beim	APPRART	461	0.0011445795097922377
79	»	$(	457	0.001134648234219203
80	gehen	VVFIN	453	0.0011247169586461685
81	Prozent	NN	452	0.00112223413975291
82	schon	ADV	451	0.0011197513208596511
