	lemma	pos	abs_freq	rel_freq
0	die	ART	43907	0.08951952600953364
1	.	$.	28155	0.05740365442408772
2	,	$,	20558	0.04191455612326036
3	eine	ART	10694	0.021803398345274165
4	und	KON	9789	0.019958244473713183
5	-	$(	8568	0.01746881588014859
6	in	APPR	8117	0.016549297210453562
7	sein	VAFIN	7592	0.015478904080542496
8	haben	VAFIN	4448	0.009068778365417942
9	mit	APPR	4181	0.00852440700220603
10	im	APPRART	3870	0.007890326500487283
11	zu	PTKZU	3844	0.007837316555005974
12	von	APPR	3757	0.007659937122049283
13	auf	APPR	3656	0.0074540138722949635
14	für	APPR	3574	0.00728682865962314
15	es	PPER	3397	0.006925953261538838
16	werden	VAFIN	3183	0.006489640633346518
17	er|es|sie	PRF	3095	0.006310222356332854
18	:	$.	2967	0.006049250317040251
19	""""	$(	2711	0.005527306238455046
20	auch	ADV	2706	0.005517112018170178
21	nicht	PTKNEG	2606	0.005313227612472832
22	sie	PPER	2405	0.004903419957021167
23	“	XY	2383	0.0048585653877677515
24	er	PPER	2226	0.004538466870822919
25	„	XY	2115	0.004312155180498865
26	am	APPRART	2084	0.004248951014732687
27	an	APPR	2044	0.004167397252453749
28	als	KOKOM	2030	0.00413885343565612
29	bei	APPR	2016	0.004110309618858492
30	können	VMFIN	1932	0.003939046718072722
31	nach	APPR	1884	0.0038411822033379956
32	ihr	PPOSAT	1783	0.003635258953583676
33	dass	KOUS	1782	0.0036332201095267028
34	aus	APPR	1744	0.0035557440353617114
35	(	$(	1671	0.003406908419202649
36	)	$(	1645	0.0033538984737213388
37	diese	PDAT	1616	0.003294771996069109
38	um	APPR	1468	0.002993023075637037
39	werden	VAINF	1443	0.0029420519742127003
40	sein	PPOSAT	1424	0.002903313937130205
41	Jahr	NN	1409	0.002872731276275603
42	aber	ADV	1319	0.0026892353111479914
43	–	XY	1295	0.0026403030537806285
44	wie	KOKOM	1263	0.002575060043957478
45	vor	APPR	1249	0.0025465162271598495
46	noch	ADV	1232	0.002511855878191301
47	so	ADV	1215	0.0024771955292227517
48	zum	APPRART	1060	0.0021611747003918657
49	über	APPR	1058	0.002157097012277919
50	ich	PPER	1040	0.002120397819252397
51	sollen	VMFIN	1035	0.0021102035989675294
52	nur	ADV	924	0.0018838919086434755
53	oder	KON	908	0.0018512704037319003
54	mehr	ADV	897	0.0018288431191051922
55	wir	PPER	893	0.0018206877428772984
56	geben	VVFIN	892	0.0018186488988203248
57	bis	APPR	880	0.0017941827701366433
58	müssen	VMFIN	858	0.0017493282008832272
59	UNKNOWN	ADJD	848	0.0017289397603134926
60	man	PIS	842	0.001716706695971652
61	neu	ADJA	817	0.0016657355945473155
62	sein	VAINF	792	0.001614764493122979
63	keine	PIAT	762	0.0015535991714137752
64	kommen	VVFIN	748	0.0015250553546161468
65	gegen	APPR	748	0.0015250553546161468
66	sagen	VVFIN	686	0.0013986470230837925
67	wollen	VMFIN	663	0.0013517536097734028
68	groß	ADJA	642	0.0013089378845769603
69	zur	APPRART	641	0.0013068990405199867
70	durch	APPR	641	0.0013068990405199867
71	stehen	VVFIN	624	0.001272238691551438
72	wieder	ADV	617	0.0012579667831526238
73	nun	ADV	609	0.0012416560306968362
74	?	$.	607	0.0012375783425828892
75	gehen	VVFIN	581	0.0011845683971015793
76	»	$(	580	0.0011825295530446059
77	doch	ADV	576	0.001174374176816712
78	erst	ADJA	571	0.0011641799565318446
79	unter	APPR	570	0.0011621411124748712
80	«	$(	565	0.001151946892190004
81	UNKNOWN	ADJA	563	0.001147869204076057
82	beim	APPRART	548	0.0011172865432214551
83	Euro	NE	542	0.0011050534788796145
84	dann	ADV	540	0.0011009757907656675
85	alle	PIAT	519	0.0010581600655692248
86	Prozent	NN	518	0.0010561212215122514
87	schon	ADV	518	0.0010561212215122514
88	ander	ADJA	516	0.0010520435333983046
89	zwei	CARD	500	0.0010194220284867291
90	seit	APPR	497	0.0010133054963158087
91	wenn	KOUS	489	0.000996994743860021
92	immer	ADV	484	0.0009868005235751539
93	gut	ADJA	482	0.0009827228354612068
94	viele	PIAT	472	0.0009623343948914723
95	vom	APPRART	465	0.0009480624864926582
