	lemma	pos	abs_freq	rel_freq
0	die	ART	9914	0.08981455477745667
1	.	$.	6379	0.05778969587708252
2	,	$,	4337	0.03929047045287771
3	eine	ART	2429	0.022005200076098675
4	und	KON	2159	0.01955917124919598
5	-	$(	1966	0.017810713606261835
6	in	APPR	1889	0.01711314242229329
7	sein	VAFIN	1640	0.014857360281927471
8	haben	VAFIN	1002	0.009077484757616662
9	mit	APPR	931	0.008434269769801508
10	im	APPRART	913	0.00827120118134133
11	zu	PTKZU	860	0.007791054781986356
12	von	APPR	848	0.00768234238967957
13	auf	APPR	831	0.0075283331672449565
14	für	APPR	810	0.00733808648070808
15	er|es|sie	PRF	757	0.006857940081353107
16	es	PPER	726	0.006577099734560576
17	werden	VAFIN	706	0.006395912414049265
18	:	$.	692	0.006269081289691347
19	auch	ADV	617	0.005589628837773933
20	""""	$(	615	0.005571510105722801
21	nicht	PTKNEG	567	0.005136660536495656
22	am	APPRART	558	0.005055126242265566
23	“	XY	524	0.004747107797396339
24	sie	PPER	522	0.004728989065345207
25	er	PPER	510	0.0046202766730384206
26	bei	APPR	484	0.004384733156373717
27	„	XY	484	0.004384733156373717
28	an	APPR	479	0.004339436326245889
29	als	KOKOM	465	0.004212605201887972
30	können	VMFIN	431	0.003904586757018744
31	ihr	PPOSAT	411	0.003723399436507433
32	(	$(	405	0.00366904324035404
33	diese	PDAT	402	0.0036418651422773433
34	)	$(	401	0.003632805776251778
35	nach	APPR	393	0.0035603308480472535
36	aus	APPR	393	0.0035603308480472535
37	dass	KOUS	391	0.0035422121159961227
38	werden	VAINF	329	0.0029805314224110595
39	vor	APPR	322	0.002917115860232101
40	sein	PPOSAT	322	0.002917115860232101
41	aber	ADV	317	0.002871819030104273
42	Jahr	NN	304	0.0027540472717719213
43	–	XY	295	0.0026725129775418315
44	um	APPR	293	0.0026543942454907007
45	noch	ADV	285	0.0025819193172861763
46	wie	KOKOM	281	0.0025456818531839143
47	über	APPR	263	0.0023826132647237347
48	sollen	VMFIN	248	0.0022467227743402517
49	zum	APPRART	241	0.002183307212161293
50	so	ADV	234	0.002119891649982334
51	wir	PPER	231	0.0020927135519056375
52	mehr	ADV	224	0.002029297989726679
53	nur	ADV	215	0.001947763695496589
54	ich	PPER	212	0.0019205855974198925
55	geben	VVFIN	199	0.0018028138390875407
56	UNKNOWN	ADJD	198	0.001793754473061975
57	oder	KON	197	0.0017846951070364097
58	bis	APPR	196	0.001775635741010844
59	neu	ADJA	191	0.0017303389108830165
60	müssen	VMFIN	188	0.0017031608128063199
61	sein	VAINF	179	0.00162162651857623
62	zur	APPRART	179	0.00162162651857623
63	gegen	APPR	175	0.0015853890544739679
64	keine	PIAT	169	0.0015310328583205747
65	alle	PIAT	164	0.001485736028192747
66	man	PIS	159	0.0014404391980649195
67	kommen	VVFIN	156	0.0014132610999882229
68	stehen	VVFIN	156	0.0014132610999882229
69	durch	APPR	151	0.0013679642698603953
70	wieder	ADV	147	0.001331726805758133
71	groß	ADJA	143	0.0012954893416558708
72	sagen	VVFIN	137	0.0012411331455024776
73	erst	ADJA	134	0.001213955047425781
74	UNKNOWN	ADJA	127	0.0011505394852468224
75	dabei	PROAV	126	0.0011414801192212568
76	unter	APPR	125	0.0011324207531956914
77	beim	APPRART	124	0.0011233613871701258
78	dann	ADV	123	0.0011143020211445602
79	doch	ADV	122	0.0011052426551189948
80	gut	ADJD	121	0.0010961832890934292
81	ander	ADJA	118	0.0010690051910167326
82	viele	PIAT	117	0.001059945824991167
83	schon	ADV	115	0.001041827092940036
84	gehen	VVFIN	113	0.001023708360888905
85	gut	ADJA	113	0.001023708360888905
86	seit	APPR	113	0.001023708360888905
87	ab	PTKVZ	112	0.0010146489948633394
88	?	$.	110	0.0009965302628122084
89	bereits	ADV	108	0.0009784115307610774
90	wenn	KOUS	107	0.0009693521647355118
91	wollen	VMFIN	104	0.0009421740666588152
92	«	$(	104	0.0009421740666588152
93	vom	APPRART	103	0.0009331147006332497
94	»	$(	102	0.0009240553346076841
95	nun	ADV	102	0.0009240553346076841
96	zwei	CARD	100	0.0009059366025565531
97	immer	ADV	100	0.0009059366025565531
98	Prozent	NN	99	0.0008968772365309875
99	alle	PIS	97	0.0008787585044798565
100	sehr	ADV	91	0.0008244023083264633
101	deutsch	ADJA	87	0.0007881648442242012
102	Euro	NE	87	0.0007881648442242012
103	laut	APPR	87	0.0007881648442242012
104	Uhr	NN	86	0.0007791054781986356
105	jährig	ADJA	86	0.0007791054781986356
106	enden	VVFIN	83	0.000751927380121939
107	weit	ADJA	83	0.000751927380121939
108	was	PRELS	83	0.000751927380121939
109	drei	CARD	83	0.000751927380121939
110	rund	ADV	81	0.000733808648070808
111	jede	PIAT	81	0.000733808648070808
112	werden	VAPP	81	0.000733808648070808
113	unknown	VVFIN	78	0.0007066305499941114
114	Land	NN	77	0.0006975711839685459
115	da	ADV	77	0.0006975711839685459
116	hier	ADV	75	0.0006794524519174148
117	liegen	VVFIN	75	0.0006794524519174148
118	dort	ADV	75	0.0006794524519174148
119	zwischen	APPR	75	0.0006794524519174148
120	sowie	KON	74	0.0006703930858918493
121	Woche	NN	72	0.0006522743538407182
